City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hadithah,34.1397,42.3781,26.39,44,55,4.31,IQ,1684970923
1,hermanus,-34.4187,19.2345,14.89,70,21,5.28,ZA,1684970924
2,edinburgh of the seven seas,-37.0676,-12.3116,14.63,68,79,11.77,SH,1684970924
3,georgetown,5.4112,100.3354,28.86,82,20,1.03,MY,1684970924
4,usinsk,65.9939,57.5281,14.98,68,85,3.31,RU,1684970897
5,grytviken,-54.2811,-36.5092,1.07,59,99,3.98,GS,1684970924
6,akbarabad,29.2464,52.7793,21.79,23,94,1.56,IR,1684970925
7,adamstown,-25.066,-130.1015,23.68,74,99,3.12,PN,1684970925
8,tazovsky,67.4667,78.7,0.39,88,4,1.83,RU,1684970925
9,wailua homesteads,22.0669,-159.378,26.44,72,40,6.69,US,1684970925
10,zhezqazghan,47.7833,67.7667,14.59,42,8,3.7,KZ,1684970926
11,atafu village,-8.5421,-172.5159,27.61,72,47,0.8,TK,1684970926
12,port-aux-francais,-49.35,70.2167,6.39,99,99,6.48,TF,1684970926
13,kruisfontein,-34.0033,24.7314,13.27,61,82,3.51,ZA,1684970926
14,talnakh,69.4865,88.3972,-5.97,90,55,1.34,RU,1684970927
15,hadibu,12.65,54.0333,28.97,73,22,3.59,YE,1684970927
16,waitangi,-43.9535,-176.5597,12.68,68,28,2.68,NZ,1684970927
17,hajjah,15.6943,43.6058,21.54,60,47,0.77,YE,1684970927
18,monrovia,6.3005,-10.7969,27.82,81,97,3.82,LR,1684970928
19,utrik,11.2278,169.8474,27.68,78,98,6.8,MH,1684970928
20,vallegrande,-18.4897,-64.1069,13.63,94,13,2.4,BO,1684970928
21,hawaiian paradise park,19.5933,-154.9731,27.73,82,40,4.63,US,1684970928
22,west island,-12.1568,96.8225,26.99,83,75,6.69,CC,1684970928
23,dauphin,51.1494,-100.0502,19.08,52,0,9.26,CA,1684970929
24,kerikeri,-35.2268,173.9474,17.17,83,8,2.83,NZ,1684970929
25,quellon,-43.1167,-73.6167,7.14,87,20,2.57,CL,1684970929
26,vilyuysk,63.7553,121.6247,6.89,40,67,3.29,RU,1684970929
27,invercargill,-46.4,168.35,12.59,80,50,3.12,NZ,1684970844
28,iqaluit,63.7506,-68.5145,-1.15,92,75,0.0,CA,1684970930
29,afaahiti,-17.75,-149.2833,27.93,78,30,2.96,PF,1684970930
30,susuman,62.7833,148.1667,3.76,65,34,2.62,RU,1684970930
31,noyabrsk,63.1994,75.4507,5.25,68,60,3.47,RU,1684970930
32,kodiak,57.79,-152.4072,7.73,93,100,4.63,US,1684970931
33,thompson,55.7435,-97.8558,20.09,22,75,4.63,CA,1684970931
34,isafjordur,66.0755,-23.124,3.15,68,39,14.66,IS,1684970931
35,kamaishi,39.2667,141.8833,16.55,54,23,1.22,JP,1684970931
36,kailua-kona,19.6406,-155.9956,26.98,81,75,4.63,US,1684970831
37,albany,42.6001,-73.9662,12.63,83,88,4.61,US,1684970932
38,kuandian,40.7286,124.7847,14.34,69,93,2.38,CN,1684970932
39,olonkinbyen,70.9221,-8.7187,-1.64,92,100,18.99,SJ,1684970932
40,blackmans bay,-43.0167,147.3167,11.07,85,76,5.46,AU,1684970933
41,kapuskasing,49.4169,-82.4331,11.05,32,0,3.6,CA,1684970933
42,puerto natales,-51.7236,-72.4875,3.3,66,91,6.71,CL,1684970933
43,magadan,59.5667,150.8,7.52,80,99,1.05,RU,1684970933
44,smithers,54.7804,-127.1743,22.18,33,40,5.14,CA,1684970933
45,avarua,-21.2078,-159.775,27.03,74,100,6.17,CK,1684970934
46,anadyr,64.75,177.4833,6.28,70,75,2.0,RU,1684970934
47,sinop,41.7711,34.8709,11.23,87,100,1.31,TR,1684970934
48,severo-yeniseyskiy,60.3725,93.0408,-0.72,85,45,1.71,RU,1684970934
49,cedeira,43.6797,-8.0209,15.21,83,78,10.7,ES,1684970934
50,udachny,66.4167,112.4,0.25,92,99,6.82,RU,1684970935
51,bilibino,68.0546,166.4372,7.87,54,32,1.71,RU,1684970935
52,la'ie,21.6477,-157.9253,29.98,70,11,7.39,US,1684970935
53,sabha,27.0377,14.4283,28.31,8,96,4.94,LY,1684970936
54,laguna,38.421,-121.4238,27.3,46,0,4.12,US,1684970936
55,nili,33.7218,66.1302,13.93,48,0,3.58,AF,1684970936
56,burutu,5.3509,5.5076,26.09,90,63,2.09,NG,1684970936
57,east london,-33.0153,27.9116,20.5,33,58,3.58,ZA,1684970936
58,port mathurin,-19.6833,63.4167,24.88,72,53,6.47,MU,1684970937
59,gogosu,44.3739,22.5931,15.31,89,71,1.7,RO,1684970937
60,morococha,-11.5997,-76.1411,3.99,90,99,2.16,PE,1684970937
61,ukholovo,53.7929,40.4892,16.47,92,96,3.07,RU,1684970937
62,ixtlan del rio,21.0333,-104.3667,34.07,14,95,4.33,MX,1684970938
63,tiksi,71.6872,128.8694,-4.78,87,53,1.08,RU,1684970938
64,fale old settlement,-9.3852,-171.2468,27.97,73,91,1.47,TK,1684970938
65,el granada,37.5027,-122.4694,22.35,72,100,6.17,US,1684970938
66,bethel,41.3712,-73.414,16.06,80,100,4.63,US,1684970939
67,ust-nera,64.5667,143.2,2.51,88,83,2.22,RU,1684970939
68,nalut,30.3333,10.85,23.5,31,77,6.73,LY,1684970939
69,amga,60.8953,131.9608,10.07,57,11,0.56,RU,1684970939
70,howard springs,-12.497,131.047,22.95,56,83,3.3,AU,1684970940
71,wotje,9.4543,170.2367,27.67,79,100,7.09,MH,1684970940
72,uturoa,-16.7333,-151.4333,27.27,67,13,1.34,PF,1684970940
73,minamirinkan,35.4833,139.45,20.11,58,96,1.34,JP,1684970940
74,noumea,-22.2763,166.4572,23.99,99,100,4.81,NC,1684970940
75,lompoc,34.6391,-120.4579,21.12,70,40,4.47,US,1684970772
76,tyrnyauz,43.3828,42.9183,11.8,66,51,3.95,RU,1684970941
77,vorkuta,67.5,64.0,8.79,78,3,3.86,RU,1684970941
78,cooper's town,26.8667,-77.5167,26.32,69,99,3.69,BS,1684970941
79,bouarfa,32.53,-1.95,16.1,50,36,4.47,MA,1684970941
80,raja,8.4596,25.678,27.17,48,92,2.47,SS,1684970942
81,copala,16.65,-98.9833,30.97,58,94,5.07,MX,1684970942
82,hamilton,39.1834,-84.5333,27.47,39,0,4.63,US,1684970942
83,yarmouth,41.7057,-70.2286,16.65,93,100,3.6,US,1684970942
84,manokwari,-0.8667,134.0833,27.86,74,100,1.44,ID,1684970943
85,jinji,23.2281,110.8261,24.64,96,99,0.91,CN,1684970943
86,cidreira,-30.1811,-50.2056,20.96,88,3,6.92,BR,1684970943
87,bamboo flat,11.7,92.7167,28.05,83,40,2.06,IN,1684970944
88,bredasdorp,-34.5322,20.0403,12.78,58,17,2.79,ZA,1684970944
89,naze,28.3667,129.4833,22.51,73,68,4.25,JP,1684970944
90,tarfaya,27.9358,-12.9218,18.91,79,5,4.03,MA,1684970944
91,sungai penuh,-2.0833,101.3833,17.54,96,24,0.78,ID,1684970945
92,kuragino,53.8975,92.6725,4.35,59,8,1.08,RU,1684970945
93,zaozersk,69.4005,32.4476,11.48,65,100,9.12,RU,1684970945
94,ushuaia,-54.8,-68.3,2.81,93,75,1.03,AR,1684970945
95,buarcos,40.166,-8.8768,16.19,78,32,2.76,PT,1684970946
96,vilyuchinsk,52.9306,158.4028,14.15,79,10,2.73,RU,1684970946
97,cadale,2.7603,46.3222,26.84,79,66,5.23,SO,1684970946
98,puerto ayora,-0.7393,-90.3518,26.42,89,31,0.89,EC,1684970946
99,eyl,7.9803,49.8164,25.39,83,100,7.77,SO,1684970947
100,hithadhoo,-0.6,73.0833,27.94,76,99,4.34,MV,1684970947
101,nemuro,43.3236,145.575,9.43,73,76,4.1,JP,1684970947
102,derzhavinsk,51.1,66.3167,16.26,39,13,3.12,KZ,1684970947
103,maisi,43.0395,41.2621,12.81,85,46,2.41,GE,1684970948
104,tura,25.5198,90.2201,21.15,78,11,1.45,IN,1684970948
105,egilsstadir,65.2653,-14.3948,6.95,53,0,7.2,IS,1684970948
